id,quesno,ques_counter,ans,score,ansval,actualans,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
66333548cb4856.36999253,26,27,genuine,50,100,Genuine,100,"Respond to this email,","Based upon senders email address,,",NA,NA,Thu May 02 2024 12:35:45 GMT+0530 (India Standard Time),Thu May 02 2024 12:35:47 GMT+0530 (India Standard Time),Thu May 02 2024 12:35:48 GMT+0530 (India Standard Time),Thu May 02 2024 12:35:49 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,15,28,phishing,-50,0,Genuine,100,"Report this email,","Based upon body of the email,,",NA,NA,Thu May 02 2024 12:35:58 GMT+0530 (India Standard Time),Thu May 02 2024 12:35:59 GMT+0530 (India Standard Time),Thu May 02 2024 12:36:16 GMT+0530 (India Standard Time),Thu May 02 2024 12:36:18 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,14,29,genuine,50,100,Genuine,100,"Respond to this email,","Based upon body of the email,,",NA,NA,Thu May 02 2024 12:36:34 GMT+0530 (India Standard Time),Thu May 02 2024 12:36:36 GMT+0530 (India Standard Time),Thu May 02 2024 12:36:40 GMT+0530 (India Standard Time),Thu May 02 2024 12:36:41 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,33,30,phishing,50,0,Phishing,100,"Read the email and do nothing,","Based upon senders email address,,",Halo Effect,Human,Thu May 02 2024 12:37:00 GMT+0530 (India Standard Time),Thu May 02 2024 12:37:02 GMT+0530 (India Standard Time),Thu May 02 2024 12:36:59 GMT+0530 (India Standard Time),Thu May 02 2024 12:37:04 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,30,31,phishing,50,0,Phishing,100,"Read the email and do nothing,","Based upon body of the email,,",Halo Effect,Human,Thu May 02 2024 12:37:22 GMT+0530 (India Standard Time),Thu May 02 2024 12:37:23 GMT+0530 (India Standard Time),Thu May 02 2024 12:37:26 GMT+0530 (India Standard Time),Thu May 02 2024 12:37:28 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,32,32,phishing,50,0,Phishing,100,"Read the email and do nothing,","Based upon body of the email,,",Recency Effect,Human,Thu May 02 2024 12:38:10 GMT+0530 (India Standard Time),Thu May 02 2024 12:38:12 GMT+0530 (India Standard Time),Thu May 02 2024 12:38:14 GMT+0530 (India Standard Time),Thu May 02 2024 12:38:16 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,27,33,genuine,50,100,Genuine,100,"Respond to this email,","Based upon body of the email,,",NA,NA,Thu May 02 2024 12:38:23 GMT+0530 (India Standard Time),Thu May 02 2024 12:38:24 GMT+0530 (India Standard Time),Thu May 02 2024 12:38:26 GMT+0530 (India Standard Time),Thu May 02 2024 12:38:36 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,38,34,genuine,50,100,Genuine,100,"Read the email and do nothing,","Based upon senders email address,,",NA,NA,Thu May 02 2024 12:38:47 GMT+0530 (India Standard Time),Thu May 02 2024 12:38:49 GMT+0530 (India Standard Time),Thu May 02 2024 12:38:52 GMT+0530 (India Standard Time),Thu May 02 2024 12:38:54 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,42,35,genuine,50,100,Genuine,100,"Read the email and do nothing,","Based upon body of the email,,",NA,NA,Thu May 02 2024 12:39:30 GMT+0530 (India Standard Time),Thu May 02 2024 12:39:32 GMT+0530 (India Standard Time),Thu May 02 2024 12:39:34 GMT+0530 (India Standard Time),Thu May 02 2024 12:39:38 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,41,36,phishing,50,0,Phishing,100,"Report this email,","Based upon senders email address,Based upon body of the email,Based upon the link/attachment in the email,,",Curiosity Effect,Human,Thu May 02 2024 12:39:46 GMT+0530 (India Standard Time),Thu May 02 2024 12:39:47 GMT+0530 (India Standard Time),Thu May 02 2024 12:39:51 GMT+0530 (India Standard Time),Thu May 02 2024 12:39:53 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,35,37,phishing,50,0,Phishing,100,"Read the email and do nothing,","Based upon the link/attachment in the email,,",Authority Bias,Human,Thu May 02 2024 12:40:12 GMT+0530 (India Standard Time),Thu May 02 2024 12:40:14 GMT+0530 (India Standard Time),Thu May 02 2024 12:40:17 GMT+0530 (India Standard Time),Thu May 02 2024 12:40:18 GMT+0530 (India Standard Time),0,0,Used,Thu May 02 2024 12:40:10 GMT+0530 (India Standard Time),63
66333548cb4856.36999253,34,38,genuine,50,100,Genuine,100,"Respond to this email,","Based upon body of the email,Based upon the link/attachment in the email,,",NA,NA,Thu May 02 2024 12:40:28 GMT+0530 (India Standard Time),Thu May 02 2024 12:40:29 GMT+0530 (India Standard Time),Thu May 02 2024 12:40:31 GMT+0530 (India Standard Time),Thu May 02 2024 12:40:35 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,37,39,phishing,50,0,Phishing,100,"Report this email,","Based upon body of the email,Based upon the link/attachment in the email,,",Hyperbolic Discounting,Human,Thu May 02 2024 12:40:41 GMT+0530 (India Standard Time),Thu May 02 2024 12:40:42 GMT+0530 (India Standard Time),Thu May 02 2024 12:40:44 GMT+0530 (India Standard Time),Thu May 02 2024 12:40:46 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,40,40,genuine,50,100,Genuine,100,"Respond to this email,","Based upon the subject line in the email,Based upon body of the email,Based upon the link/attachment in the email,,",NA,NA,Thu May 02 2024 12:41:15 GMT+0530 (India Standard Time),Thu May 02 2024 12:41:16 GMT+0530 (India Standard Time),Thu May 02 2024 12:41:25 GMT+0530 (India Standard Time),Thu May 02 2024 12:41:32 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,43,41,phishing,50,0,Phishing,100,"Report this email,","Based upon body of the email,Based upon the link/attachment in the email,,",Halo Effect,Human,Thu May 02 2024 12:41:41 GMT+0530 (India Standard Time),Thu May 02 2024 12:41:42 GMT+0530 (India Standard Time),Thu May 02 2024 12:41:47 GMT+0530 (India Standard Time),Thu May 02 2024 12:41:50 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,36,42,genuine,50,100,Genuine,100,"Respond to this email,","Based upon body of the email,Based upon the link/attachment in the email,,",NA,NA,Thu May 02 2024 12:42:11 GMT+0530 (India Standard Time),Thu May 02 2024 12:42:12 GMT+0530 (India Standard Time),Thu May 02 2024 12:42:15 GMT+0530 (India Standard Time),Thu May 02 2024 12:42:17 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,39,43,phishing,50,0,Phishing,100,"Read the email and do nothing,","Based upon body of the email,,",Recency Effect,Human,Thu May 02 2024 12:42:26 GMT+0530 (India Standard Time),Thu May 02 2024 12:42:27 GMT+0530 (India Standard Time),Thu May 02 2024 12:42:29 GMT+0530 (India Standard Time),Thu May 02 2024 12:42:30 GMT+0530 (India Standard Time),0,0,Not used,,
