id,quesno,ques_counter,ans,,ansval,,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
6630844d0af120.26583107,30,33,phishing,46,4,Phishing,89,"Move to spam,","Based upon body of the email,,",Halo Effect,Human,Tue Apr 30 2024 11:33:29 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:33:30 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:33:32 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:33:33 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,38,34,genuine,48,98,Genuine,97,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Tue Apr 30 2024 11:33:45 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:33:46 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:33:50 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:33:53 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,39,35,phishing,50,0,Phishing,100,"Move to spam,","Based upon the subject line in the email,Based upon body of the email,,",Recency Effect,Human,Tue Apr 30 2024 11:34:00 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:34:02 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:34:05 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:34:09 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,40,36,genuine,50,100,Genuine,99,"Read the email and do nothing,Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Tue Apr 30 2024 11:34:23 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:34:24 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:34:28 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:34:32 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,34,37,phishing,-48,2,Genuine,95,"Move to spam,","Based upon body of the email,,",NA,NA,Tue Apr 30 2024 11:34:53 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:34:54 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:34:55 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:34:57 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,43,38,phishing,50,0,Phishing,100,"Move to spam,Report this email,","Based upon body of the email,,",Halo Effect,Human,Tue Apr 30 2024 11:35:13 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:35:11 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:35:17 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:35:19 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,36,39,phishing,-7,43,Genuine,67,"Read the email and do nothing,","Based upon body of the email,,",NA,NA,Tue Apr 30 2024 11:35:46 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:35:47 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:35:48 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:35:52 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,42,40,phishing,-27,23,Genuine,85,"Move to spam,","Based upon senders email address,Based upon body of the email,,",NA,NA,Tue Apr 30 2024 11:36:27 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:36:27 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:36:31 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:36:32 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,41,41,phishing,50,0,Phishing,100,"Move to spam,Report this email,","Based upon senders email address,Based upon body of the email,,",Curiosity Effect,Human,Tue Apr 30 2024 11:36:40 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:36:42 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:36:46 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:36:49 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,35,42,phishing,50,0,Phishing,100,"Move to spam,Report this email,","Based upon senders email address,Based upon body of the email,,",Authority Bias,Human,Tue Apr 30 2024 11:37:00 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:37:01 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:37:03 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:37:05 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,37,43,phishing,50,0,Phishing,100,"Delete this email,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",Hyperbolic Discounting,Human,Tue Apr 30 2024 11:37:11 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:37:12 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:37:21 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:37:25 GMT+0530 (India Standard Time),0,0,Not used,,
