consent,timestamp,sno,id,quesno,ques_counter,ans,ansval,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
true,"2023-12-01 15:05:53",11404,6569a159661f31.25428346,16,32,genuine,100,100,"Respond to this email,","Based upon senders email address,Based upon body of the email,,","Attention check_1","Attention check_1","Fri Dec 01 2023 15:05:42 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:05:44 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:05:48 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:05:52 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:05:08",11403,6569a159661f31.25428346,20,31,phishing,0,100,"Delete this email,Report this email,","Based upon senders email address,Based upon body of the email,Based upon the link/attachment in the email,,","Authority Bias",Human,"Fri Dec 01 2023 15:04:55 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:04:57 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:05:03 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:05:07 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:04:39",11402,6569a159661f31.25428346,15,30,genuine,100,100,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 15:04:19 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:04:20 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:04:23 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:04:37 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:04:04",11401,6569a159661f31.25428346,13,29,genuine,100,100,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 15:03:46 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:03:48 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:03:51 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:04:04 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:03:27",11400,6569a159661f31.25428346,11,28,genuine,100,100,"Respond to this email,","Based upon senders email address,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 15:03:20 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:03:21 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:03:24 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:03:26 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:03:12",11399,6569a159661f31.25428346,30,27,phishing,0,100,"Delete this email,","Based upon senders email address,Based upon body of the email,Based upon the link/attachment in the email,,","Halo Effect",Human,"Fri Dec 01 2023 15:03:02 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:03:03 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:03:10 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:03:11 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:02:40",11398,6569a159661f31.25428346,25,26,genuine,100,100,"Respond to this email,","Based upon senders email address,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 15:02:31 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:02:33 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:02:36 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:02:38 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:02:12",11397,6569a159661f31.25428346,23,25,genuine,100,100,"Respond to this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 15:01:57 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:01:59 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:02:06 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:02:11 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:01:46",11396,6569a159661f31.25428346,21,24,phishing,0,82,"Delete this email,","Based upon senders email address,,","Recency Effect",Human,"Fri Dec 01 2023 15:01:31 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:01:33 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:01:35 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:01:45 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:00:41",11395,6569a159661f31.25428346,29,23,phishing,0,100,"Delete this email,Report this email,","Based upon the subject line in the email,Based upon body of the email,,","Hyperbolic Discounting",Human,"Fri Dec 01 2023 15:00:25 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:00:27 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:00:35 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:00:40 GMT+0530 (India Standard Time)",0,0,"Not used",,
