consent,timestamp,sno,id,quesno,ques_counter,ans,ansval,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
true,"2024-03-03 12:11:51",11721,65e413528c0d70.43245333,31,33,phishing,0,93,"Read the email and do nothing,Move to spam,Delete this email,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,","Curiosity Effect",Human,"Sun Mar 03 2024 12:11:38 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:11:40 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:11:44 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:11:50 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:11:24",11720,65e413528c0d70.43245333,15,32,genuine,82,85,"Read the email and do nothing,Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Sun Mar 03 2024 12:11:07 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:11:09 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:11:16 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:11:22 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:10:16",11719,65e413528c0d70.43245333,25,31,genuine,73,100,"Read the email and do nothing,Respond to this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Sun Mar 03 2024 12:09:58 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:10:00 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:10:11 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:10:15 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:09:09",11718,65e413528c0d70.43245333,16,30,genuine,91,100,"Respond to this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,","Attention check_1","Attention check_1","Sun Mar 03 2024 12:08:52 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:08:57 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:09:01 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:09:08 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:08:07",11717,65e413528c0d70.43245333,14,29,phishing,0,100,"Read the email and do nothing,Move to spam,Delete this email,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Sun Mar 03 2024 12:07:53 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:07:55 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:07:59 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:08:06 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:07:33",11716,65e413528c0d70.43245333,18,28,phishing,0,100,"Move to spam,Delete this email,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,","Curiosity Effect",Human,"Sun Mar 03 2024 12:07:17 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:07:19 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:07:24 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:07:29 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:07:03",11715,65e413528c0d70.43245333,26,27,genuine,100,100,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Sun Mar 03 2024 12:06:56 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:06:58 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:07:01 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:07:02 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:06:29",11714,65e413528c0d70.43245333,20,26,phishing,6,90,"Read the email and do nothing,Move to spam,Delete this email,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,","Authority Bias",Human,"Sun Mar 03 2024 12:06:20 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:06:22 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:06:25 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:06:28 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:05:46",11713,65e413528c0d70.43245333,33,25,phishing,0,100,"Read the email and do nothing,Move to spam,Delete this email,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,","Halo Effect",Human,"Sun Mar 03 2024 12:05:13 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:05:15 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:05:45 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:05:42 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:04:57",11712,65e413528c0d70.43245333,22,24,phishing,0,78,"Read the email and do nothing,Move to spam,Delete this email,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon the date in the email,,","Attention check_2","Attention check_3","Sun Mar 03 2024 12:04:39 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:04:43 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:04:50 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:04:56 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:04:17",11711,65e413528c0d70.43245333,17,23,phishing,0,100,"Read the email and do nothing,Move to spam,Delete this email,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon the link/attachment in the email,,","Authority Bias",Human,"Sun Mar 03 2024 12:04:01 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:04:03 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:04:10 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:04:16 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:03:50",11710,65e413528c0d70.43245333,32,22,phishing,0,100,"Read the email and do nothing,Move to spam,Delete this email,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,","Recency Effect",Human,"Sun Mar 03 2024 12:03:31 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:03:32 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:03:42 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:03:48 GMT+0530 (India Standard Time)",0,0,"Not used",,
